,title,developer,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting,item_id,playtime_forever,user_id,recommend,sentiment_score,posted_year
118611,Craft The World,Dekovir Entertainment,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248390,31,mostmlgpro420blazeitsteamprofile,True,2,2014
1368734,Age of Empires® III: Complete Collection,Ensemble Studios,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105450,57,Practical_Bears,False,0,2015
991933,From the Depths,Brilliant Skies Ltd.,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,268650,25,AnonRookie,False,2,2014
958996,Orcs Must Die! Unchained,Robot Entertainment,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427270,94,76561198071526072,True,0,2014
1319884,Counter-Strike: Source,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,29,76561198043505113,True,2,2014
880857,PlanetSide 2,Daybreak Game Company,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,218230,71,76561198060502143,True,2,2013
1478845,BLOCKADE 3D,Shumkov Dmitriy,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,302830,98,exellexe,False,0,2015
1519868,Zero Gear,Brian Cronin,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18820,45,gamerexq,True,2,2013
344052,Blood Bowl® Legendary Edition,Cyanide Studios,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58520,83,Blakethesex,False,2,2015
206926,Deus Ex: Game of the Year Edition,Ion Storm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6910,13,76561198045702747,True,2,2015
45642,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,90,Ranneko,True,2,2011
609765,LuckCatchers,DiP Online,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,454540,6,xexilex,True,2,2015
745827,Slender: The Arrival,Blue Isle Studios,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,252330,64,EucHellscythe,True,2,2014
26090,Woodcutter Simulator 2013,United Independent Entertainment GmbH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267610,8,aeternum_solus,False,0,2014
